player_name,team_abbreviation,player_height,pts
George Hill,MIL,190.5,9.7
Gary Payton II,WAS,190.5,4.2
Garrett Temple,BKN,195.58,10.3
Garrison Mathews,WAS,195.58,5.8
Giannis Antetokounmpo,MIL,210.82,29.6
Gabe Vincent,MIA,190.5,2.4
Furkan Korkmaz,PHI,200.66,9.6
Fred VanVleet,TOR,185.42,17.6
Gary Clark,ORL,198.12,3.4
Glenn Robinson III,PHI,198.12,12
Gordon Hayward,BOS,200.66,16.9
Goran Dragic,MIA,190.5,16.4
Frank Ntilikina,NYK,193.04,6
Grant Williams,BOS,198.12,3.6
Henry Ellenson,BKN,208.28,0.4
Ian Mahinmi,WAS,210.82,7.4
Ignas Brazdeikis,NYK,198.12,1.9
Iman Shumpert,BKN,195.58,4.2
Goga Bitadze,IND,210.82,3.2
Frank Mason,MIL,180.34,1
Evan Fournier,ORL,200.66,18.8
Donta Hall,DET,205.74,1.7
Donte DiVincenzo,MIL,193.04,9.3
Doug McDermott,IND,200.66,10.4
Duncan Robinson,MIA,200.66,13.1
Dwayne Bacon,CHA,198.12,5.7
Dzanan Musa,BKN,205.74,4.2
Edmond Sumner,IND,193.04,4.5
Elfrid Payton,NYK,190.5,10
Enes Kanter,BOS,208.28,8.4
Eric Bledsoe,MIL,185.42,15.2
Ersan Ilyasova,MIL,205.74,7
Isaac Bonga,WAS,203.2,4.6
Isaiah Thomas,WAS,175.26,12.2
Jayson Tatum,BOS,203.2,23.5
Jeff Teague,ATL,190.5,10.9
Jeremiah Martin,BKN,187.96,0.7
Jeremy Lamb,IND,195.58,12.5
Jerome Robinson,WAS,193.04,3.7
Jimmy Butler,MIA,200.66,20.5
Joe Chealey,CHA,193.04,0.7
Jaylen Brown,BOS,198.12,20.4
Joe Harris,BKN,198.12,13.8
Joel Embiid,PHI,213.36,23.3
John Collins,ATL,205.74,21.4
John Henson,DET,205.74,5.6
Johnathan Williams,WAS,205.74,3.2
Jonathan Isaac,ORL,210.82,12
Jordan Bone,DET,190.5,1.2
Javonte Green,BOS,193.04,2.9
Ish Smith,WAS,182.88,10.5
Domantas Sabonis,IND,210.82,18.3
J.P. Macura,CLE,193.04,0
JaKarr Sampson,IND,200.66,4.3
Jae Crowder,MIA,198.12,10.4
Jalen McDaniels,CHA,208.28,5.2
James Ennis III,ORL,198.12,6
Jarrett Allen,BKN,210.82,10.8
Dewan Hernandez,TOR,208.28,1
Dewayne Dedmon,ATL,213.36,5.6
Bismack Biyombo,CHA,203.2,7.5
Blake Griffin,DET,205.74,15.5
Bobby Portis,NYK,208.28,10.1
Brad Wanamaker,BOS,190.5,6.7
Bradley Beal,WAS,190.5,30.5
Brandon Goodwin,ATL,182.88,6.1
Brandon Knight,DET,187.96,7.4
Brian Bowen II,IND,198.12,0.8
Ben Simmons,PHI,208.28,16.7
Brook Lopez,MIL,213.36,10.9
Bruno Fernando,ATL,205.74,4.4
CJ Miles,WAS,198.12,6.4
Caleb Martin,CHA,195.58,4.3
Cam Reddish,ATL,203.2,10.3
Caris LeVert,BKN,198.12,17.5
Carsen Edwards,BOS,180.34,3
Bruce Brown,DET,193.04,8.8
Bam Adebayo,MIA,205.74,16
BJ Johnson,ORL,200.66,1.6
Aaron Gordon,ORL,203.2,14.4
Aaron Holiday,IND,182.88,9.6
Adam Mokoka,CHI,195.58,2.9
Admiral Schofield,WAS,195.58,3.2
Al Horford,PHI,205.74,11.9
Al-Farouq Aminu,ORL,203.2,4.3
Alec Burks,PHI,198.12,15.2
Alfonzo McKinnie,CLE,200.66,4.4
Alize Johnson,IND,200.66,1.4
Allonzo Trier,NYK,193.04,6.5
Amile Jefferson,ORL,205.74,0.8
Andre Drummond,CLE,208.28,17.5
Andre Iguodala,MIA,198.12,4.8
Ante Zizic,CLE,208.28,4.4
Anzejs Pasecniks,WAS,218.44,6.3
Cedi Osman,CLE,200.66,11
Chandler Hutchison,CHI,200.66,7.8
Charles Brown Jr.,ATL,198.12,2
Darius Garland,CLE,185.42,12.3
Daryl Macon,MIA,187.96,0.8
David Nwaba,BKN,195.58,5.2
Davis Bertans,WAS,208.28,15.3
De'Andre Hunter,ATL,200.66,12.3
DeAndre Jordan,BKN,210.82,8.3
DeAndre' Bembry,ATL,195.58,5.8
Dean Wade,CLE,205.74,1.7
Dennis Smith Jr.,NYK,187.96,5.5
Denzel Valentine,CHI,193.04,6.5
Derrick Jones Jr.,MIA,198.12,8.7
Derrick Rose,DET,187.96,18.1
Derrick Walton Jr.,DET,182.88,2
Devonte' Graham,CHA,185.42,17.8
Jordan McRae,DET,195.58,11.7
Dante Exum,CLE,195.58,4.5
Chris Boucher,TOR,205.74,6.4
Chris Chiozza,BKN,180.34,3.6
Chris Silva,MIA,203.2,3
Christian Wood,DET,208.28,12.6
Clint Capela,ATL,208.28,13.9
Coby White,CHI,193.04,13
Cody Martin,CHA,195.58,4.8
Cody Zeller,CHA,213.36,11
Collin Sexton,CLE,185.42,20.6
Cristiano Felicio,CHI,208.28,3.9
D.J. Augustin,ORL,180.34,10
D.J. Wilson,MIL,208.28,3
Damian Jones,ATL,210.82,5.6
Damyean Dotson,NYK,195.58,6.7
Daniel Gafford,CHI,208.28,5.1
Daniel Theis,BOS,203.2,9.1
Chandler Parsons,ATL,205.74,2.8
Josh Magette,ORL,185.42,1.5
