player_name,team_abbreviation,player_height,pts
Georges Niang,UTA,200.66,5.8
Gary Trent Jr.,POR,195.58,7.8
Gary Harris,DEN,193.04,10.3
Gorgui Dieng,MEM,208.28,7.4
Grayson Allen,MEM,193.04,7.4
Hamidou Diallo,OKC,195.58,6.2
Harrison Barnes,SAC,203.2,14.8
Harry Giles III,SAC,210.82,7.1
Hassan Whiteside,POR,213.36,16.3
Frank Jackson,NOP,190.5,5.6
Donovan Mitchell,UTA,185.42,24.4
Dorian Finney-Smith,DAL,200.66,9.2
Dragan Bender,GSW,213.36,5.6
Draymond Green,GSW,198.12,8
Drew Eubanks,SAS,205.74,3.8
Dusty Hannahs,MEM,190.5,6
Dwight Howard,LAL,208.28,7.7
Dwight Powell,DAL,208.28,9.4
Frank Kaminsky,PHX,213.36,11
Ed Davis,UTA,205.74,1.3
Elie Okobo,PHX,190.5,4.1
Emmanuel Mudiay,UTA,190.5,7.3
Eric Gordon,HOU,190.5,14.5
Eric Mika,SAC,208.28,6
Eric Paschall,GSW,198.12,14
Evan Turner,MIN,198.12,3.3
E'Twaun Moore,NOP,190.5,8.7
Isaiah Hartenstein,HOU,213.36,4.7
Ivica Zubac,LAC,213.36,8.1
Jaylen Hoard,POR,203.2,2.9
Jaylen Nowell,MIN,193.04,4.4
Jeff Green,HOU,203.2,8.3
Jerami Grant,DEN,203.2,11.5
Jeremy Pargo,GSW,187.96,8.3
Jevon Carter,PHX,185.42,4.4
John Konchar,MEM,195.58,3.5
Johnathan Motley,LAC,203.2,2.2
Jonah Bolden,PHX,203.2,1.4
Jonas Valanciunas,MEM,210.82,14.7
Jordan Bell,MEM,203.2,3.2
Jordan Clarkson,UTA,193.04,15.2
Jordan McLaughlin,MIN,180.34,7.8
Joe Ingles,UTA,200.66,9.6
Jaxson Hayes,NOP,210.82,7.5
Jarrod Uthoff,MEM,205.74,1
J.J. Barea,DAL,177.8,8
JJ Redick,NOP,190.5,14.9
Ja Morant,MEM,190.5,17.6
JaMychal Green,LAC,203.2,6.4
JaVale McGee,LAL,213.36,6.9
Jabari Parker,SAC,203.2,14.7
Jacob Evans,MIN,193.04,4.4
Jahlil Okafor,NOP,208.28,7.6
Jake Layman,MIN,203.2,9
Jakob Poeltl,SAS,215.9,5.3
Jalen Brunson,DAL,185.42,8.2
Jalen Lecque,PHX,193.04,2.5
Jamal Murray,DEN,193.04,18.6
James Harden,HOU,195.58,34.5
James Johnson,MIN,200.66,8
Jared Dudley,LAL,198.12,1.5
Jared Harper,PHX,177.8,0.7
Jaren Jackson Jr.,MEM,210.82,16.9
Jarred Vanderbilt,MIN,205.74,1.1
Jarrell Brantley,UTA,195.58,0
Jarrett Culver,MIN,198.12,9.1
Isaiah Roby,OKC,203.2,0
Dion Waiters,LAL,190.5,9.3
Boban Marjanovic,DAL,223.52,5.7
Bogdan Bogdanovic,SAC,198.12,14.6
Bojan Bogdanovic,UTA,203.2,20.5
Brandon Clarke,MEM,203.2,12
Brandon Ingram,NOP,200.66,24.4
Bruno Caboclo,HOU,205.74,2.6
Bryn Forbes,SAS,187.96,11.2
Buddy Hield,SAC,193.04,20
CJ McCollum,POR,190.5,22.5
Caleb Swanigan,POR,205.74,2.5
Cameron Johnson,PHX,203.2,8.1
Carmelo Anthony,POR,203.2,15.1
Ben McLemore,HOU,190.5,9.9
Abdel Nader,OKC,195.58,6
Alen Smailagic,GSW,208.28,4.2
Alex Caruso,LAL,195.58,5.6
Alex Len,SAC,213.36,8.2
Allen Crabbe,MIN,195.58,4.6
Amir Coffey,LAC,200.66,2.4
Andrew Wiggins,GSW,200.66,21.8
Anfernee Simons,POR,190.5,8.9
Anthony Davis,LAL,208.28,26.6
Anthony Tolliver,MEM,203.2,3.5
Antonius Cleveland,DAL,195.58,0.8
Aron Baynes,PHX,208.28,11.3
Austin Rivers,HOU,190.5,8.5
Avery Bradley,LAL,190.5,8.3
Dillon Brooks,MEM,200.66,15.6
De'Aaron Fox,SAC,190.5,20.3
De'Anthony Melton,MEM,187.96,8.1
DeMar DeRozan,SAS,198.12,22.3
DeMarre Carroll,HOU,198.12,3.2
Deandre Ayton,PHX,210.82,19
Darius Bazley,OKC,203.2,4.5
Dejounte Murray,SAS,193.04,10.6
Dennis Schroder,OKC,185.42,18.9
Deonte Burton,OKC,193.04,2.8
Derrick Favors,NOP,205.74,9.2
Derrick White,SAS,193.04,10.2
Devin Booker,PHX,195.58,25.9
Devon Hall,OKC,187.96,1
Delon Wright,DAL,195.58,7.3
Dario Saric,PHX,208.28,9.8
Danuel House Jr.,HOU,198.12,10.4
Chasson Randle,GSW,187.96,1.5
Cheick Diallo,PHX,203.2,4.7
Chimezie Metu,SAS,205.74,2.9
Chris Clemons,HOU,175.26,5
Chris Paul,OKC,185.42,17.5
Cory Joseph,SAC,190.5,6.4
Courtney Lee,DAL,195.58,4.3
D'Angelo Russell,MIN,193.04,23.1
DaQuan Jeffries,SAC,195.58,1.2
Damian Lillard,POR,187.96,29
Damion Lee,GSW,195.58,12.8
Danilo Gallinari,OKC,208.28,19.2
Danny Green,LAL,198.12,8.4
Jordan Poole,GSW,193.04,8.7
Josh Hart,NOP,195.58,10.3
Royce O'Neale,UTA,193.04,6.1
Rudy Gay,SAS,203.2,9.7
Rudy Gobert,UTA,215.9,15.2
Russell Westbrook,HOU,190.5,27.5
Ryan Anderson,HOU,205.74,2.5
Ryan Broekhoff,DAL,198.12,4.2
Seth Curry,DAL,187.96,12.6
Shai Gilgeous-Alexander,OKC,195.58,19.3
Stanton Kidd,UTA,198.12,0
Stephen Curry,GSW,190.5,20.8
Steven Adams,OKC,210.82,11
Rodney Hood,POR,203.2,11
P.J. Tucker,HOU,195.58,7.2
PJ Dozier,DEN,198.12,4.3
Patrick Beverley,LAC,185.42,7.9
Patrick Patterson,LAC,203.2,4.6
Patty Mills,SAS,185.42,11.7
Paul George,LAC,203.2,20.9
Paul Millsap,DEN,200.66,11.8
Rodney McGruder,LAC,193.04,3.2
Quinndary Weatherspoon,SAS,190.5,0
Rajon Rondo,LAL,185.42,7.3
Rayjon Tucker,UTA,190.5,1.4
Reggie Jackson,LAC,190.5,12.9
Richaun Holmes,SAC,208.28,13
Ricky Rubio,PHX,190.5,12.7
Robert Covington,HOU,200.66,13
Quinn Cook,LAL,185.42,4.8
Talen Horton-Tucker,LAL,193.04,0
Tyler Johnson,PHX,190.5,5.7
Tyson Chandler,HOU,213.36,1.3
Tyus Jones,MEM,182.88,7.4
Vlatko Cancar,DEN,203.2,1.2
Wenyen Gabriel,POR,205.74,2.2
Will Barton,DEN,195.58,15
William Howard,HOU,203.2,0
Willie Cauley-Stein,DAL,213.36,7.3
Yogi Ferrell,SAC,182.88,4.2
Yuta Watanabe,MEM,203.2,1.9
Zach Collins,POR,210.82,9
Zach Norvell Jr.,GSW,195.58,2
Zion Williamson,NOP,198.12,23.6
Zylan Cheatham,NOP,195.58,1.3
Ty Jerome,PHX,195.58,3.6
Troy Daniels,DEN,193.04,4.2
Tariq Owens,PHX,208.28,1.3
Terance Mann,LAC,195.58,1.6
Terrance Ferguson,OKC,198.12,4.2
Thabo Sefolosha,HOU,198.12,2.3
Tim Hardaway Jr.,DAL,195.58,15.6
Tony Bradley,UTA,208.28,4.7
Torrey Craig,DEN,200.66,5.1
Trevor Ariza,POR,203.2,7.7
Trey Lyles,SAS,205.74,6.2
Omari Spellman,MIN,203.2,7.6
Josh Gray,NOP,182.88,1
Kevon Looney,GSW,205.74,3.4
Kostas Antetokounmpo,LAL,208.28,0
Kristaps Porzingis,DAL,220.98,19.7
Ky Bowman,GSW,185.42,7.4
Kyle Anderson,MEM,205.74,5.7
Kevin Hervey,OKC,205.74,0.3
Kyle Guy,SAC,185.42,1
Kyle Kuzma,LAL,203.2,12.5
LaMarcus Aldridge,SAS,210.82,18.8
Landry Shamet,LAC,193.04,9.9
LeBron James,LAL,205.74,25.6
Lonnie Walker IV,SAS,195.58,5.6
Lonzo Ball,NOP,198.12,12.3
Lou Williams,LAC,185.42,18.8
Kentavious Caldwell-Pope,LAL,195.58,9.6
Kenrich Williams,NOP,198.12,3.8
Josh Jackson,MEM,203.2,10.2
Josh Okogie,MIN,193.04,8.6
Josh Reaves,DAL,193.04,0
Jrue Holiday,NOP,190.5,19.2
Juan Toscano-Anderson,GSW,198.12,5.8
Juancho Hernangomez,MIN,205.74,5.8
Justin Jackson,DAL,200.66,5.7
Justin James,SAC,200.66,2.5
Justin Patton,OKC,210.82,1.8
Kent Bazemore,SAC,193.04,8.6
Justise Winslow,MEM,198.12,11.3
Juwan Morgan,UTA,200.66,1.2
Karl-Anthony Towns,MIN,210.82,26.5
Kawhi Leonard,LAC,200.66,26.9
Keita Bates-Diop,DEN,203.2,6.6
Kelan Martin,MIN,195.58,6.4
Keldon Johnson,SAS,195.58,4.7
Kelly Oubre Jr.,PHX,200.66,18.7
Justin Wright-Foreman,UTA,182.88,0
Luguentz Dort,OKC,190.5,6.1
Luka Doncic,DAL,200.66,28.4
Luka Samanic,SAS,208.28,0
Michael Porter Jr.,DEN,208.28,7.8
Mikal Bridges,PHX,198.12,8.5
Mike Conley,UTA,185.42,13.9
Mike Muscala,OKC,208.28,4.6
Miye Oni,UTA,195.58,0
Monte Morris,DEN,187.96,8.6
Montrezl Harrell,LAC,200.66,18.7
Moses Brown,POR,218.44,1.2
Michael Kidd-Gilchrist,DAL,198.12,2.5
